name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch
RATA1-RATA2	ECOG	V	n/a	n/a	bipolar	RATA	1000	strip	n/a
RATA2-RATA3	ECOG	V	n/a	n/a	bipolar	RATA	1000	strip	n/a
RATA3-RATA4	ECOG	V	n/a	n/a	bipolar	RATA	1000	strip	n/a
RATA4-RATA5	ECOG	V	n/a	n/a	bipolar	RATA	1000	strip	n/a
RATA5-RATA6	ECOG	V	n/a	n/a	bipolar	RATA	1000	strip	n/a
RATA6-RATA7	ECOG	V	n/a	n/a	bipolar	RATA	1000	strip	n/a
RATA7-RATA8	ECOG	V	n/a	n/a	bipolar	RATA	1000	strip	n/a
RATB1-RATB2	ECOG	V	n/a	n/a	bipolar	RATB	1000	strip	n/a
RATB2-RATB3	ECOG	V	n/a	n/a	bipolar	RATB	1000	strip	n/a
RATB3-RATB4	ECOG	V	n/a	n/a	bipolar	RATB	1000	strip	n/a
RATB4-RATB5	ECOG	V	n/a	n/a	bipolar	RATB	1000	strip	n/a
RATB5-RATB6	ECOG	V	n/a	n/a	bipolar	RATB	1000	strip	n/a
RATB6-RATB7	ECOG	V	n/a	n/a	bipolar	RATB	1000	strip	n/a
RATB7-RATB8	ECOG	V	n/a	n/a	bipolar	RATB	1000	strip	n/a
RSTA1-RSTA2	ECOG	V	n/a	n/a	bipolar	RSTA	1000	strip	n/a
RSTA2-RSTA3	ECOG	V	n/a	n/a	bipolar	RSTA	1000	strip	n/a
RSTA3-RSTA4	ECOG	V	n/a	n/a	bipolar	RSTA	1000	strip	n/a
RSTA4-RSTA5	ECOG	V	n/a	n/a	bipolar	RSTA	1000	strip	n/a
RSTA5-RSTA6	ECOG	V	n/a	n/a	bipolar	RSTA	1000	strip	n/a
RSTA6-RSTA7	ECOG	V	n/a	n/a	bipolar	RSTA	1000	strip	n/a
RSTA7-RSTA8	ECOG	V	n/a	n/a	bipolar	RSTA	1000	strip	n/a
RSTB1-RSTB2	ECOG	V	n/a	n/a	bipolar	RSTB	1000	strip	n/a
RSTB2-RSTB3	ECOG	V	n/a	n/a	bipolar	RSTB	1000	strip	n/a
RSTB3-RSTB4	ECOG	V	n/a	n/a	bipolar	RSTB	1000	strip	n/a
RSTB4-RSTB5	ECOG	V	n/a	n/a	bipolar	RSTB	1000	strip	n/a
RSTB5-RSTB6	ECOG	V	n/a	n/a	bipolar	RSTB	1000	strip	n/a
RSTB6-RSTB7	ECOG	V	n/a	n/a	bipolar	RSTB	1000	strip	n/a
RSTB7-RSTB8	ECOG	V	n/a	n/a	bipolar	RSTB	1000	strip	n/a
RAH1-RAH2	SEEG	V	n/a	n/a	bipolar	RAH	1000	depth	n/a
RAH2-RAH3	SEEG	V	n/a	n/a	bipolar	RAH	1000	depth	n/a
RAH3-RAH4	SEEG	V	n/a	n/a	bipolar	RAH	1000	depth	n/a
RAH4-RAH5	SEEG	V	n/a	n/a	bipolar	RAH	1000	depth	n/a
RAH5-RAH6	SEEG	V	n/a	n/a	bipolar	RAH	1000	depth	n/a
RAH6-RAH7	SEEG	V	n/a	n/a	bipolar	RAH	1000	depth	n/a
RAH7-RAH8	SEEG	V	n/a	n/a	bipolar	RAH	1000	depth	n/a
RMH1-RMH2	SEEG	V	n/a	n/a	bipolar	RMH	1000	depth	n/a
RMH2-RMH3	SEEG	V	n/a	n/a	bipolar	RMH	1000	depth	n/a
RMH3-RMH4	SEEG	V	n/a	n/a	bipolar	RMH	1000	depth	n/a
RMH4-RMH5	SEEG	V	n/a	n/a	bipolar	RMH	1000	depth	n/a
RMH5-RMH6	SEEG	V	n/a	n/a	bipolar	RMH	1000	depth	n/a
RMH6-RMH7	SEEG	V	n/a	n/a	bipolar	RMH	1000	depth	n/a
RMH7-RMH8	SEEG	V	n/a	n/a	bipolar	RMH	1000	depth	n/a
RPH1-RPH2	SEEG	V	n/a	n/a	bipolar	RPH	1000	depth	n/a
RPH2-RPH3	SEEG	V	n/a	n/a	bipolar	RPH	1000	depth	n/a
RPH3-RPH4	SEEG	V	n/a	n/a	bipolar	RPH	1000	depth	n/a
RPH4-RPH5	SEEG	V	n/a	n/a	bipolar	RPH	1000	depth	n/a
RPH5-RPH6	SEEG	V	n/a	n/a	bipolar	RPH	1000	depth	n/a
RPH6-RPH7	SEEG	V	n/a	n/a	bipolar	RPH	1000	depth	n/a
RPH7-RPH8	SEEG	V	n/a	n/a	bipolar	RPH	1000	depth	n/a
RFGD1-RFGD9	ECOG	V	n/a	n/a	bipolar	RFGD	1000	grid	n/a
