name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	wb.region	ind.region	das.region	stein.region
LA1	-26.0886	-1.92163	-26.3732083874605	-999	LA	L	depth	-24.7577	-7.6783	-20.076	Left Amygdala	n/a	n/a	Left Amy
LA2	-29.1454	-1.99836	-26.6445144760219	-999	LA	L	depth	-28.21	-7.33791	-19.2423	Left Amygdala	n/a	n/a	Left Amy
LA3	-36.1659	-1.32819	-27.8419510521587	-999	LA	L	depth	-34.5077	-7.26067	-19.2666	Left Cerebral White Matter	entorhinal	n/a	n/a
LA4	-41.3187	-1.54709	-25.1482911875784	-999	LA	L	depth	-40.2329	-7.19008	-19.2878	Left Cerebral White Matter	entorhinal	n/a	n/a
LA5	-45.8524	-2.49195	-23.4350877603226	-999	LA	L	depth	-46.5306	-7.11186	-19.3124	Left Cerebral White Matter	middletemporal	n/a	n/a
LA6	-51.8858	-2.96189	-22.0777671159379	-999	LA	L	depth	-52.2558	-7.04145	-19.3345	Left Cerebral White Matter	middletemporal	n/a	n/a
LA7	-60.3287	-1.5735	-20.6524540169459	-999	LA	L	depth	-58.4806	-5.67669	-18.9198	Left Cerebral White Matter	middletemporal	n/a	n/a
LA8	-65.6085	-1.99345	-21.109605683445	-999	LA	L	depth	-64.2059	-5.60629	-18.942	Left MTG middle temporal gyrus	middletemporal	n/a	n/a
LB1	-31.0987	-13.4189	-26.9356076246698	-999	LB	L	depth	-27.7967	-16.3568	-17.4557	Left Hippocampus	entorhinal	CA1	Left CA1
LB2	-35.0278	-13.7776	-28.1853353201116	-999	LB	L	depth	-31.2318	-16.3147	-17.469	Left Cerebral White Matter	entorhinal	n/a	Left CA1
LB3	-40.6936	-15.9057	-25.3291447092741	-999	LB	L	depth	-36.5647	-18.2299	-16.67	Left FuG fusiform gyrus	fusiform	BA36	n/a
LB4	-45.7291	-16.9332	-22.7919687383367	-999	LB	L	depth	-42.38	-19.1485	-16.2832	Left Cerebral White Matter	inferiortemporal	n/a	n/a
LB5	-50.1728	-18.8688	-22.5925491354448	-999	LB	L	depth	-48.7679	-20.0603	-15.8987	Left Cerebral White Matter	inferiortemporal	n/a	n/a
LB6	-56.4814	-20.8882	-21.7867112351606	-999	LB	L	depth	-54.6732	-21.9679	-15.103	Left Cerebral White Matter	middletemporal	n/a	n/a
LB7	-63.7086	-21.1238	-22.4919008951554	-999	LB	L	depth	-59.9161	-22.8941	-14.7128	Left MTG middle temporal gyrus	middletemporal	n/a	n/a
LB8	-71.1243	-22.1495	-21.1111085685198	-999	LB	L	depth	-66.9665	-24.788	-13.9215	Clear Label	inferiortemporal	n/a	n/a
LC1	-31.7449	-21.4117	-19.1231829609492	-999	LC	L	depth	-29.7143	-23.3649	-11.6467	Left Hippocampus	n/a	CA1	Left CA1
LC2	-34.5269	-23.3629	-19.9992728186633	-999	LC	L	depth	-33.2396	-24.3116	-11.25	Left Cerebral White Matter	n/a	n/a	Left CA1
LC3	-39.372	-24.4319	-18.08039021768	-999	LC	L	depth	-38.4823	-25.2371	-10.8611	Left Cerebral White Matter	fusiform	n/a	n/a
LC4	-47.2105	-23.8846	-16.3244551822056	-999	LC	L	depth	-45.3976	-25.6475	-10.6832	Left Cerebral White Matter	fusiform	n/a	n/a
