name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	ind.region
LAH1	-71.0334	10.7954	-21.4725692059516	-999	LAH	L	depth	-25.4907	-1.10582	-21.8048	n/a
LAH2	-75.8643	9.61368	-19.587686888233	-999	LAH	L	depth	-30.7776	-0.842649	-19.5429	n/a
LAH3	-80.0046	10.6113	-19.521282639229	-999	LAH	L	depth	-35.0407	1.06439	-19.0763	n/a
LAH4	-85.5741	10.8633	-18.0194710558576	-999	LAH	L	depth	-40.8551	2.46956	-17.2978	superiortemporal
LAH5	-90.7753	10.2674	-16.4686995239169	-999	LAH	L	depth	-46.2186	2.78046	-15.6544	superiortemporal
LAH6	-96.1897	10.7826	-16.1881994536243	-999	LAH	L	depth	-51.6343	4.24221	-15.154	superiortemporal
LAH7	-101.489	10.2784	-15.3123659429281	-999	LAH	L	depth	-57.0724	4.60191	-14.1294	superiortemporal
LAH8	-107.423	10.6856	-13.6041993906429	-999	LAH	L	depth	-62.888	6.00704	-12.3509	superiortemporal
LMH1	-70.9161	0.912663	-12.5008308540264	-999	LMH	L	depth	-27.2477	-9.04782	-13.0237	n/a
LMH2	-76.5223	0.72279	-12.4039146993896	-999	LMH	L	depth	-32.7624	-8.63939	-12.6179	n/a
LMH3	-82.3302	0.512202	-12.1932495690761	-999	LMH	L	depth	-38.8281	-8.19103	-12.1714	superiortemporal
LMH4	-87.5507	1.35495	-11.8247430290286	-999	LMH	L	depth	-44.2438	-6.72927	-11.6709	superiortemporal
LMH5	-92.8707	0.975333	-11.6410231495096	-999	LMH	L	depth	-49.7586	-6.32082	-11.2651	superiortemporal
LMH6	-98.2498	1.4441	-10.6502997931538	-999	LMH	L	depth	-55.0986	-4.90785	-10.146	superiortemporal
LMH7	-103.68	2.01884	-10.3779403504286	-999	LMH	L	depth	-60.5143	-3.44609	-9.64542	superiortemporal
LMH8	-109.58	1.58147	-10.2070841997154	-999	LMH	L	depth	-66.5813	-2.9967	-9.199	superiortemporal
LPH1	-73.369	-5.67543	-7.51470055317532	-999	LPH	L	depth	-30.4645	-15.5631	-7.7793	insula
LPH2	-78.9802	-5.81891	-9.10794888191387	-999	LPH	L	depth	-36.2082	-15.0093	-9.22948	superiortemporal
LPH3	-83.7911	-5.84967	-10.1298608494982	-999	LPH	L	depth	-41.3241	-14.5453	-10.1016	superiortemporal
LPH4	-88.8997	-5.91638	-10.4438554204858	-999	LPH	L	depth	-46.9143	-14.0881	-10.3146	superiortemporal
LPH5	-94.2435	-6.36539	-10.2545548609935	-999	LPH	L	depth	-52.429	-13.6807	-9.90856	middletemporal
LPH6	-99.6322	-6.65093	-11.5028493747028	-999	LPH	L	depth	-58.096	-13.1757	-10.74	superiortemporal
LPH7	-105.517	-7.03661	-12.0308354740997	-999	LPH	L	depth	-64.2384	-12.6776	-10.9124	middletemporal
LPH8	-111.041	-6.29784	-13.1816023024226	-999	LPH	L	depth	-69.8075	-11.1193	-11.6492	middletemporal
RPG2	16.2546	-56.2445	-1.1156000429389	-999	RPG	R	grid	46.9515	-76.7574	-6.86061	inferiortemporal
RPG3	14.3642	-66.3101	4.96920577483433	-999	RPG	R	grid	43.5818	-83.1757	-2.85359	inferiortemporal
RPG4	9.12274	-71.7446	9.15158819999964	-999	RPG	R	grid	40.235	-88.4916	0.629344	fusiform
RPG5	3.54141	-78.0187	14.4780520681232	-999	RPG	R	grid	34.705	-92.5419	3.75049	lateraloccipital
RPG6	-3.83405	-80.6021	13.513529355933	-999	RPG	L	grid	27.5205	-96.4595	7.19908	fusiform
RPG7	-11.0334	-83.1007	14.4454860098666	-999	RPG	L	grid	20.7851	-99.7956	9.38651	fusiform
RPG9	21.1315	-45.4269	6.35873913979709	-999	RPG	R	grid	55.3429	-68.5728	-3.49095	middletemporal
RPG10	19.7728	-52.1912	10.6510617436929	-999	RPG	R	grid	51.5207	-73.8964	0.651377	middletemporal
RPG11	15.0482	-60.717	12.7700969684684	-999	RPG	R	grid	46.8691	-79.5606	2.93075	inferiortemporal
RPG12	10.9143	-68.1287	19.6171374644406	-999	RPG	R	grid	41.3925	-84.7478	7.47511	inferiortemporal
RPG13	6.04584	-75.668	22.4232950249986	-999	RPG	R	grid	35.8626	-88.7842	10.8736	lateraloccipital
RPG14	-0.59312	-79.094	23.1780434064436	-999	RPG	L	grid	28.7013	-91.5974	13.8372	lateraloccipital
RPG15	-10.8708	-79.8963	25.0313914612161	-999	RPG	L	grid	22.0909	-94.4516	16.7563	lateraloccipital
RPG16	-23.9804	-78.7022	24.0851986278296	-999	RPG	L	grid	14.2485	-96.0322	17.8412	fusiform
RPG17	22.8864	-39.7988	14.104712171203	-999	RPG	R	grid	58.7824	-65.0535	3.5569	middletemporal
RPG18	20.128	-48.8036	16.8120149012197	-999	RPG	R	grid	55.2604	-71.363	6.55965	middletemporal
RPG19	15.7344	-56.521	22.3184182876614	-999	RPG	R	grid	49.3313	-75.4497	11.3572	inferiortemporal
RPG20	13.1407	-63.7183	26.8144046846345	-999	RPG	R	grid	42.5728	-79.8857	14.1134	inferiortemporal
RPG21	9.08405	-72.5433	28.6783209689708	-999	RPG	R	grid	37.0428	-83.922	17.5117	lateraloccipital
RPG22	-1.32211	-76.2011	30.6346999499533	-999	RPG	L	grid	29.8586	-87.8354	21.044	lateraloccipital
RPG23	-19.0799	-74.0647	35.7783175045807	-999	RPG	L	grid	23.1726	-90.644	23.2858	lateraloccipital
RPG24	-27.2006	-75.3527	34.4729121273886	-999	RPG	L	grid	15.5048	-91.2158	25.1567	lateraloccipital
RPG25	23.0411	-36.3833	21.9600380036041	-999	RPG	R	grid	60.9439	-62.4282	10.5659	middletemporal
RPG26	21.8023	-42.8796	25.7013875606184	-999	RPG	R	grid	57.597	-67.7288	14.3545	middletemporal
RPG27	17.8242	-52.3611	28.5566479591876	-999	RPG	R	grid	50.4127	-71.6421	17.8868	inferiortemporal
RPG28	14.3093	-62.0269	32.3096078042589	-999	RPG	R	grid	43.8787	-74.5419	21.4831	inferiortemporal
RPG29	10.3866	-67.7857	36.3106059044012	-999	RPG	R	grid	38.2992	-79.1055	24.8272	inferiortemporal
RPG30	-3.81774	-73.3284	37.5575502287291	-999	RPG	L	grid	31.115	-83.0189	28.3598	lateraloccipital
RPG31	-12.6596	-71.9776	44.2844733033686	-999	RPG	L	grid	24.4289	-85.8274	30.6015	lateraloccipital
RPG32	-30.4252	-72.8063	41.7860628243771	-999	RPG	L	grid	16.5866	-87.4082	31.6865	lateraloccipital
RPG33	23.9253	-32.6134	29.5512820318483	-999	RPG	R	grid	64.3072	-58.8302	17.5942	middletemporal
RPG34	22.396	-38.2421	34.5021781495113	-999	RPG	R	grid	58.7545	-63.9669	21.5614	inferiortemporal
RPG35	19.5905	-42.2701	39.1620201659581	-999	RPG	R	grid	52.772	-66.9076	25.1133	inferiortemporal
RPG36	14.9255	-52.8236	42.5305557807828	-999	RPG	R	grid	46.1392	-70.8619	28.601	lateraloccipital
RPG37	10.2926	-60.688	43.0185965751312	-999	RPG	R	grid	39.453	-73.6705	30.8427	lateraloccipital
RPG38	-0.7345	-63.693	47.8531201616984	-999	RPG	L	grid	32.4666	-75.4748	34.5917	lateraloccipital
RPG39	-7.92376	-67.8252	50.1074038557586	-999	RPG	L	grid	25.7311	-78.8107	36.7791	lateraloccipital
RPG40	-22.2986	-68.2165	51.3539549875681	-999	RPG	L	grid	17.9419	-81.5371	39.1101	lateraloccipital
RPG41	24.5782	-28.3359	36.9210429699995	-999	RPG	R	grid	65.5371	-53.4408	24.2869	middletemporal
RPG42	21.6209	-34.323	42.2867445896197	-999	RPG	R	grid	60.011	-59.1503	28.8771	middletemporal
RPG43	18.1004	-38.3175	48.0289050191495	-999	RPG	R	grid	53.8534	-63.1	31.6428	middletemporal
RPG44	13.7245	-42.5357	53.8546466668232	-999	RPG	R	grid	46.3383	-63.7632	34.8678	lateraloccipital
RPG45	9.06321	-48.8925	55.0815243612242	-999	RPG	R	grid	39.6522	-66.5717	37.1095	lateraloccipital
RPG46	-2.29254	-58.0505	56.0774088507834	-999	RPG	L	grid	32.4675	-70.4851	40.6424	lateraloccipital
RPG47	-8.11547	-60.1897	58.3359157832135	-999	RPG	L	grid	25.8582	-73.3393	43.5608	lateraloccipital
RPG48	-19.1857	-59.6198	60.4281155619967	-999	RPG	L	grid	18.2436	-75.0568	46.6782	lateraloccipital
RPG49	26.2009	-26.4825	46.1140618188747	-999	RPG	R	grid	66.6945	-49.679	31.4932	middletemporal
RPG50	21.5052	-30.3435	49.0963284498879	-999	RPG	R	grid	61.3626	-51.6062	35.1089	middletemporal
RPG51	17.5217	-35.7326	55.1658217307559	-999	RPG	R	grid	54.102	-55.474	37.964	middletemporal
RPG52	13.8041	-38.2033	61.9761991857757	-999	RPG	R	grid	47.4425	-58.8553	40.8292	middletemporal
RPG53	8.38153	-40.0099	66.0119463513581	-999	RPG	R	grid	40.8325	-61.7096	43.7477	lateraloccipital
RPG54	-1.43195	-49.5794	66.1850572181092	-999	RPG	L	grid	33.7473	-64.5683	47.3891	inferiorparietal
RPG55	-7.83488	-54.2667	67.7081066221135	-999	RPG	L	grid	26.9623	-68.4313	49.5222	lateraloccipital
RPG56	-18.5968	-55.7385	66.767474951608	-999	RPG	L	grid	19.3477	-70.1492	52.6386	lateraloccipital
RPG57	28.1635	-20.0485	50.9765972712805	-999	RPG	R	grid	66.8403	-41.4342	36.5151	middletemporal
RPG58	21.0485	-26.3619	56.7987013037837	-999	RPG	R	grid	59.8084	-45.439	41.4014	middletemporal
RPG59	18.3727	-33.2369	60.7912709913807	-999	RPG	R	grid	54.2022	-49.4296	44.1231	middletemporal
RPG60	11.792	-36.5452	67.5136969094184	-999	RPG	R	grid	47.5922	-52.2838	47.0417	middletemporal
RPG61	3.62593	-38.952	70.9603419288432	-999	RPG	R	grid	40.8336	-56.7198	49.7982	inferiorparietal
RPG62	-5.04677	-46.4376	71.5253865951316	-999	RPG	L	grid	32.5695	-59.451	52.8511	inferiorparietal
RPG63	-11.4418	-49.8008	72.9380694528802	-999	RPG	L	grid	25.8835	-62.2595	55.0928	inferiorparietal
RPG64	-22.5365	-51.8332	69.1205779767989	-999	RPG	L	grid	18.0943	-64.986	57.4237	lateraloccipital
RAG2	-0.948565	3.85593	74.2165011798967	-999	RAG	L	grid	49.1566	-10.4033	59.7795	inferiorparietal
RAG3	8.72611	-7.8845	73.7412737631788	-999	RAG	R	grid	53.5025	-20.694	56.2702	inferiorparietal
RAG4	11.872	-14.237	70.8548698341692	-999	RAG	R	grid	56.6654	-29.1851	50.9807	inferiorparietal
RAG5	21.1685	-19.93	61.5542055337478	-999	RAG	R	grid	60.9582	-38.3307	46.2256	middletemporal
RAG6	-15.1399	6.62047	82.214142093491	-999	RAG	L	grid	35.2791	-8.78839	69.2202	superiorparietal
RAG7	-7.79592	-2.93925	81.3162805200348	-999	RAG	L	grid	40.7512	-18.0626	65.0527	inferiorparietal
RAG8	1.01736	-13.4584	76.8311487098798	-999	RAG	R	grid	45.7971	-26.813	61.6613	inferiorparietal
RAG9	10.7232	-21.8027	76.3979488897076	-999	RAG	R	grid	50.1126	-34.8581	56.3378	inferiorparietal
RAG10	16.3036	-26.7041	69.8032725883776	-999	RAG	R	grid	53.1233	-43.2577	49.6938	inferiorparietal
RAG11	-22.5573	-2.0287	83.5843419704695	-999	RAG	L	grid	28.6278	-15.5169	74.4689	superiorparietal
RAG12	-15.2407	-9.36856	85.2477472769025	-999	RAG	L	grid	33.0459	-24.1804	70.4446	inferiorparietal
RAG13	-7.0881	-17.0002	81.9660006232912	-999	RAG	L	grid	37.4642	-32.8446	66.4205	superiorparietal
RAG14	1.933	-29.2239	76.808974972622	-999	RAG	R	grid	42.1559	-41.94	60.2657	inferiorparietal
RAG15	5.70386	-33.5969	72.8916486236192	-999	RAG	R	grid	44.1628	-49.2026	53.8205	middletemporal
RAG17	-23.8373	-16.4883	85.8625445101529	-999	RAG	L	grid	25.2109	-29.1074	73.9129	superiorparietal
RAG18	-17.346	-22.7783	83.5179344422111	-999	RAG	L	grid	28.3241	-38.1256	68.5691	superiorparietal
RAG19	-13.1989	-36.218	80.3706585903984	-999	RAG	L	grid	32.5675	-47.7984	63.7596	lateraloccipital
RAG20	-6.69273	-41.6406	76.2079539662439	-999	RAG	L	grid	35.8292	-55.2346	58.5787	inferiorparietal
RLOS1	-35.6742	-35.1037	12.9380953342764	-999	RLOS	L	strip	4.87871	-53.6121	8.73615	parahippocampal
RLOS2	-33.6465	-39.4788	3.31093573628944	-999	RLOS	L	strip	9.61253	-58.8224	0.485958	parahippocampal
RLOS3	-30.0589	-47.7558	-4.74183953661249	-999	RLOS	L	strip	15.0273	-65.2466	-5.51823	fusiform
RLOS4	-17.7784	-50.3943	-4.96233141356458	-999	RLOS	L	strip	23.1275	-71.0231	-8.49662	inferiortemporal
