name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch
LAH1-LAH2	SEEG	V	n/a	n/a	bipolar	LAH	500	depth	n/a
LAH2-LAH3	SEEG	V	n/a	n/a	bipolar	LAH	500	depth	n/a
LAH3-LAH4	SEEG	V	n/a	n/a	bipolar	LAH	500	depth	n/a
LAH4-LAH5	SEEG	V	n/a	n/a	bipolar	LAH	500	depth	n/a
LAH5-LAH6	SEEG	V	n/a	n/a	bipolar	LAH	500	depth	n/a
LAH6-LAH7	SEEG	V	n/a	n/a	bipolar	LAH	500	depth	n/a
LAH7-LAH8	SEEG	V	n/a	n/a	bipolar	LAH	500	depth	n/a
LMH1-LMH2	SEEG	V	n/a	n/a	bipolar	LMH	500	depth	n/a
LMH2-LMH3	SEEG	V	n/a	n/a	bipolar	LMH	500	depth	n/a
LMH3-LMH4	SEEG	V	n/a	n/a	bipolar	LMH	500	depth	n/a
LMH4-LMH5	SEEG	V	n/a	n/a	bipolar	LMH	500	depth	n/a
LMH5-LMH6	SEEG	V	n/a	n/a	bipolar	LMH	500	depth	n/a
LMH6-LMH7	SEEG	V	n/a	n/a	bipolar	LMH	500	depth	n/a
LMH7-LMH8	SEEG	V	n/a	n/a	bipolar	LMH	500	depth	n/a
LPH1-LPH2	SEEG	V	n/a	n/a	bipolar	LPH	500	depth	n/a
LPH2-LPH3	SEEG	V	n/a	n/a	bipolar	LPH	500	depth	n/a
LPH3-LPH4	SEEG	V	n/a	n/a	bipolar	LPH	500	depth	n/a
LPH4-LPH5	SEEG	V	n/a	n/a	bipolar	LPH	500	depth	n/a
LPH5-LPH6	SEEG	V	n/a	n/a	bipolar	LPH	500	depth	n/a
LPH6-LPH7	SEEG	V	n/a	n/a	bipolar	LPH	500	depth	n/a
LPH7-LPH8	SEEG	V	n/a	n/a	bipolar	LPH	500	depth	n/a
RPG2-RPG10	ECOG	V	n/a	n/a	bipolar	RPG	500	grid	n/a
RPG2-RPG3	ECOG	V	n/a	n/a	bipolar	RPG	500	grid	n/a
RPG3-RPG4	ECOG	V	n/a	n/a	bipolar	RPG	500	grid	n/a
RPG3-RPG11	ECOG	V	n/a	n/a	bipolar	RPG	500	grid	n/a
RPG4-RPG5	ECOG	V	n/a	n/a	bipolar	RPG	500	grid	n/a
RPG4-RPG12	ECOG	V	n/a	n/a	bipolar	RPG	500	grid	n/a
RPG5-RPG6	ECOG	V	n/a	n/a	bipolar	RPG	500	grid	n/a
RPG5-RPG13	ECOG	V	n/a	n/a	bipolar	RPG	500	grid	n/a
